                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9928,                 4.6192,                 1.0545,                0.49014,                0.04349,                0.03505,                0.01969,                 2.0454,                 3.0369,                 1.0888,               0.070186,              0.0033126,              0.0033126
                      1,                 1.9215,                 3.2254,                 1.0338,                0.38378,                0.13779,                0.09536,                0.05386,                 1.8712,                 2.3441,                 1.0171,               0.037993,              0.0044528,              0.0044528
                      2,                 1.8196,                 2.8337,                 1.0085,                0.39665,                0.17279,                0.12482,                0.07066,                 1.7532,                 2.0935,                 1.0016,                 0.0036,               0.003393,               0.003393
