                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4886,                0.81134,                0.93883,                0.80819,                0.69979,                0.75939,                0.39454,                 1.4799,                0.78286,                0.93076,               0.006634,               0.006634,               0.006634
                     36,                 1.4632,                0.79885,                0.93756,                0.85625,                0.67763,                0.76262,                0.40395,                 1.4392,                 0.7542,                0.93169,               0.006535,               0.006535,               0.006535
                     37,                 1.4619,                0.78228,                0.93133,                0.83702,                0.68406,                0.74326,                0.39571,                 1.4506,                 0.7597,                0.92892,               0.006436,               0.006436,               0.006436
                     38,                 1.4699,                0.79777,                 0.9343,                0.84219,                0.66762,                 0.7299,                0.38434,                 1.4683,                0.77184,                0.92931,               0.006337,               0.006337,               0.006337
                     39,                 1.4285,                0.77526,                0.93414,                0.82451,                0.63808,                0.71716,                0.37398,                 1.5385,                0.81272,                0.94433,               0.006238,               0.006238,               0.006238
                     40,                 1.4437,                0.78955,                0.92148,                0.84294,                0.68549,                0.75613,                0.39209,                  1.514,                 0.7596,                 0.9372,               0.006139,               0.006139,               0.006139
                     41,                  1.424,                 0.7692,                0.91741,                0.84513,                0.68262,                 0.7668,                0.38381,                 1.5441,                0.77996,                0.93421,                0.00604,                0.00604,                0.00604
                     42,                  1.421,                0.77233,                0.92213,                0.82995,                0.67682,                0.75507,                 0.4023,                 1.4809,                0.73849,                0.93125,               0.005941,               0.005941,               0.005941
                     43,                 1.4338,                0.76597,                0.92378,                 0.8436,                0.69049,                0.77062,                0.40567,                 1.4204,                0.73226,                0.92271,               0.005842,               0.005842,               0.005842
                     44,                 1.4012,                0.75072,                0.91553,                0.85023,                0.68049,                0.77075,                0.40133,                 1.4837,                0.75012,                0.92401,               0.005743,               0.005743,               0.005743
                     45,                 1.3898,                0.74991,                0.91742,                0.83651,                0.69121,                0.76251,                0.40868,                   1.43,                0.74502,                0.91794,               0.005644,               0.005644,               0.005644
                     46,                 1.4063,                0.74502,                0.91165,                0.85251,                 0.6955,                0.77516,                0.40936,                 1.4394,                0.73505,                0.92103,               0.005545,               0.005545,               0.005545
                     47,                 1.3906,                0.74161,                0.91743,                0.88304,                0.67995,                0.76786,                0.41201,                  1.423,                0.72384,                0.91765,               0.005446,               0.005446,               0.005446
                     48,                 1.3624,                 0.7341,                0.91424,                0.83632,                0.69764,                0.76984,                0.41004,                 1.4345,                0.72272,                0.91572,               0.005347,               0.005347,               0.005347
                     49,                 1.3776,                0.73586,                0.91615,                0.82892,                0.70654,                0.76699,                0.40459,                   1.43,                 0.7394,                 0.9205,               0.005248,               0.005248,               0.005248
                     50,                 1.3619,                0.73049,                0.91358,                0.84894,                  0.711,                0.78062,                0.41524,                 1.4156,                0.71123,                0.91105,               0.005149,               0.005149,               0.005149
                     51,                 1.3667,                0.72237,                0.91351,                0.84862,                 0.7198,                0.78972,                0.42881,                 1.3924,                0.70646,                0.91231,                0.00505,                0.00505,                0.00505
                     52,                 1.3641,                0.72481,                0.91235,                0.86692,                 0.7005,                0.77729,                0.42265,                 1.3934,                0.69681,                0.91619,               0.004951,               0.004951,               0.004951
                     53,                 1.3266,                0.70324,                0.90523,                0.86574,                0.69049,                 0.7852,                0.41061,                 1.4105,                0.71194,                0.90886,               0.004852,               0.004852,               0.004852
                     54,                  1.321,                0.70488,                0.91099,                0.87194,                0.68049,                0.78389,                0.41437,                 1.4319,                0.72292,                 0.9168,               0.004753,               0.004753,               0.004753
                     55,                 1.3363,                0.70603,                0.90461,                0.85359,                0.71681,                0.78492,                  0.424,                 1.4055,                0.70658,                0.91378,               0.004654,               0.004654,               0.004654
                     56,                 1.3458,                0.71284,                0.90603,                0.85776,                0.69621,                0.77841,                 0.4233,                 1.4052,                 0.7017,                0.91069,               0.004555,               0.004555,               0.004555
                     57,                 1.3546,                0.70881,                0.90736,                0.84287,                0.70407,                 0.7811,                0.41601,                 1.4266,                0.70741,                0.91359,               0.004456,               0.004456,               0.004456
                     58,                 1.3148,                0.69505,                0.90363,                0.87852,                0.69764,                 0.7803,                0.41884,                 1.4054,                0.70348,                0.91012,               0.004357,               0.004357,               0.004357
                     59,                  1.327,                0.70115,                0.90016,                0.84754,                0.71128,                0.77883,                0.41779,                 1.4249,                 0.7145,                0.91415,               0.004258,               0.004258,               0.004258
                     60,                 1.2898,                 0.6875,                0.89647,                0.82354,                0.71408,                0.77632,                0.42384,                 1.3507,                0.69031,                0.90356,               0.004159,               0.004159,               0.004159
                     61,                   1.29,                0.67725,                0.89815,                0.85512,                0.70979,                0.78918,                0.42693,                 1.3823,                0.68892,                0.90522,                0.00406,                0.00406,                0.00406
                     62,                 1.2915,                0.68076,                 0.9009,                0.85446,                 0.7055,                0.78631,                0.44033,                 1.3558,                 0.6691,                0.90544,               0.003961,               0.003961,               0.003961
                     63,                 1.2802,                0.67179,                0.88871,                0.86508,                0.70836,                0.78238,                0.42462,                 1.3629,                0.66845,                0.89854,               0.003862,               0.003862,               0.003862
                     64,                 1.2865,                0.67144,                0.89033,                0.84428,                0.72082,                0.78313,                0.42952,                 1.3859,                0.67548,                0.90703,               0.003763,               0.003763,               0.003763
                     65,                 1.2735,                0.66375,                0.88831,                0.87494,                0.71012,                0.79669,                0.43921,                 1.3494,                0.66565,                0.90069,               0.003664,               0.003664,               0.003664
                     66,                 1.2471,                0.65341,                0.88637,                0.86425,                0.72552,                0.79759,                0.43315,                 1.3609,                0.66964,                0.90044,               0.003565,               0.003565,               0.003565
                     67,                 1.2703,                0.66206,                0.88754,                0.87334,                0.72695,                0.80939,                0.44622,                 1.3243,                0.64782,                0.89539,               0.003466,               0.003466,               0.003466
                     68,                 1.2708,                0.65903,                0.88578,                0.89223,                0.70765,                0.80509,                 0.4391,                  1.371,                0.66608,                0.89984,               0.003367,               0.003367,               0.003367
                     69,                 1.2724,                0.66035,                0.88901,                0.87462,                0.72623,                0.79404,                0.43964,                 1.3517,                0.65305,                 0.8988,               0.003268,               0.003268,               0.003268
                     70,                 1.2484,                0.64793,                0.88019,                0.87642,                0.71477,                0.79654,                0.43618,                 1.3484,                0.65288,                0.89422,               0.003169,               0.003169,               0.003169
                     71,                 1.2467,                0.63909,                0.88403,                0.85686,                0.73598,                0.80513,                0.44922,                 1.3148,                0.64656,                0.89575,                0.00307,                0.00307,                0.00307
                     72,                 1.2579,                0.65861,                0.88344,                0.85684,                0.73767,                0.80738,                0.45472,                 1.3054,                 0.6413,                 0.8892,               0.002971,               0.002971,               0.002971
                     73,                 1.2242,                0.63674,                0.88394,                0.85658,                0.72194,                0.79699,                0.43699,                 1.3522,                0.65024,                0.89784,               0.002872,               0.002872,               0.002872
                     74,                 1.2162,                0.62789,                0.87874,                0.85593,                 0.7391,                0.80583,                0.44677,                 1.3374,                0.63846,                0.89244,               0.002773,               0.002773,               0.002773
                     75,                 1.2236,                0.63361,                0.88348,                0.85091,                0.73767,                0.80773,                 0.4409,                 1.3538,                0.63548,                0.89328,               0.002674,               0.002674,               0.002674
                     76,                 1.2087,                0.62233,                0.87498,                0.85298,                0.73403,                0.80522,                0.44699,                  1.332,                0.64184,                0.89358,               0.002575,               0.002575,               0.002575
                     77,                 1.1777,                0.61138,                0.87605,                0.88245,                0.70979,                0.80761,                0.45222,                 1.3367,                0.63845,                0.89452,               0.002476,               0.002476,               0.002476
                     78,                 1.2215,                0.63366,                0.87894,                 0.8635,                0.71894,                0.79643,                0.44482,                 1.3253,                0.64949,                0.88984,               0.002377,               0.002377,               0.002377
                     79,                 1.1992,                0.62543,                0.87812,                0.87062,                0.71766,                0.80431,                0.44985,                 1.3215,                0.64034,                0.89176,               0.002278,               0.002278,               0.002278
                     80,                 1.1903,                 0.6239,                 0.8726,                0.88632,                0.71332,                0.79714,                0.44826,                 1.3538,                0.64098,                0.89554,               0.002179,               0.002179,               0.002179
                     81,                 1.1902,                0.61732,                0.86978,                0.85035,                0.72298,                0.80295,                0.44251,                 1.3637,                0.63679,                 0.8971,                0.00208,                0.00208,                0.00208
                     82,                 1.1633,                 0.6011,                0.87035,                0.83754,                0.73699,                0.80378,                0.44845,                 1.3316,                0.63281,                0.89301,               0.001981,               0.001981,               0.001981
                     83,                 1.1648,                0.59776,                0.86965,                0.86146,                0.73767,                  0.811,                0.45119,                 1.3243,                0.63221,                0.88913,               0.001882,               0.001882,               0.001882
                     84,                 1.1753,                0.60822,                 0.8696,                0.87422,                 0.7148,                 0.8072,                0.44812,                 1.3301,                0.62675,                0.89126,               0.001783,               0.001783,               0.001783
                     85,                 1.1517,                0.59705,                0.86767,                0.85372,                0.74267,                 0.8104,                0.45253,                 1.3022,                0.62097,                0.88949,               0.001684,               0.001684,               0.001684
                     86,                 1.1404,                0.58617,                0.87175,                0.89134,                0.71337,                0.81036,                  0.458,                  1.317,                0.62484,                 0.8864,               0.001585,               0.001585,               0.001585
                     87,                 1.1505,                0.58484,                0.86585,                0.89303,                0.71837,                0.81226,                 0.4494,                 1.3286,                0.62062,                0.88747,               0.001486,               0.001486,               0.001486
                     88,                 1.1266,                0.58072,                0.86735,                0.86306,                 0.7343,                0.80416,                0.45968,                 1.2972,                0.60885,                0.88471,               0.001387,               0.001387,               0.001387
                     89,                 1.1533,                0.58409,                0.87412,                0.86846,                 0.7268,                0.80478,                0.45943,                 1.3096,                0.61547,                0.88774,               0.001288,               0.001288,               0.001288
                     90,                 1.1854,                0.60452,                 0.8616,                0.87943,                0.73124,                0.81903,                0.47466,                 1.2518,                0.60871,                0.88599,               0.001189,               0.001189,               0.001189
                     91,                 1.1453,                0.58563,                0.86478,                0.86125,                0.74542,                 0.8225,                0.47924,                 1.2591,                 0.6154,                0.88778,                0.00109,                0.00109,                0.00109
                     92,                 1.1457,                 0.5808,                 0.8626,                0.88591,                0.72158,                0.82016,                0.48415,                 1.2455,                0.60308,                0.88429,               0.000991,               0.000991,               0.000991
                     93,                 1.1358,                0.57226,                0.86188,                0.90161,                0.72051,                0.82093,                0.47776,                  1.259,                0.60382,                0.88705,               0.000892,               0.000892,               0.000892
                     94,                 1.1212,                0.56131,                0.85338,                0.89988,                0.71909,                0.82583,                0.48661,                 1.2356,                0.59557,                0.88187,               0.000793,               0.000793,               0.000793
                     95,                 1.0992,                0.55983,                0.85809,                0.87458,                0.74124,                0.81968,                 0.4832,                  1.218,                0.58977,                0.87817,               0.000694,               0.000694,               0.000694
                     96,                 1.1037,                0.55542,                0.85439,                0.87522,                0.73624,                0.81824,                0.48791,                 1.2189,                 0.5893,                0.88045,               0.000595,               0.000595,               0.000595
                     97,                 1.0913,                0.55401,                0.84945,                0.87701,                0.73395,                0.81935,                 0.4882,                 1.2219,                 0.5879,                0.88005,               0.000496,               0.000496,               0.000496
                     98,                 1.0847,                0.55282,                0.85212,                0.87865,                0.73981,                0.82925,                0.48815,                 1.2291,                0.59336,                0.87971,               0.000397,               0.000397,               0.000397
                     99,                 1.0773,                0.54497,                0.85018,                0.87525,                0.73981,                0.82748,                0.48701,                 1.2263,                0.58577,                  0.879,               0.000298,               0.000298,               0.000298
