                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2111,                  0.641,                0.91775,                0.88081,                0.80805,                0.87459,                0.52746,                  1.204,                 0.6067,                 0.9256,               0.006634,               0.006634,               0.006634
                     36,                 1.2195,                0.64178,                0.92279,                0.88556,                0.80347,                0.86859,                0.51476,                  1.255,                0.62606,                0.93221,               0.006535,               0.006535,               0.006535
                     37,                 1.1963,                0.63234,                 0.9114,                0.89027,                0.81868,                0.88288,                0.52484,                 1.2275,                0.59826,                0.93374,               0.006436,               0.006436,               0.006436
                     38,                 1.1977,                0.62594,                0.91443,                0.88894,                0.82236,                0.88957,                0.53662,                 1.1981,                  0.593,                0.92212,               0.006337,               0.006337,               0.006337
                     39,                 1.2043,                 0.6307,                 0.9137,                0.89601,                0.81018,                0.88099,                 0.5243,                 1.2145,                0.60981,                0.92681,               0.006238,               0.006238,               0.006238
                     40,                 1.1866,                0.61855,                0.91069,                0.88381,                0.81899,                0.88272,                0.52838,                 1.2202,                0.59757,                0.92553,               0.006139,               0.006139,               0.006139
                     41,                 1.1829,                0.62004,                0.91288,                0.88514,                0.80486,                0.87622,                 0.5197,                 1.2412,                0.60971,                0.93065,                0.00604,                0.00604,                0.00604
                     42,                 1.1686,                0.61093,                0.90865,                0.89086,                0.81252,                0.88765,                0.53791,                 1.2004,                0.57364,                0.92742,               0.005941,               0.005941,               0.005941
                     43,                 1.1712,                0.60848,                 0.9091,                0.89384,                0.81991,                0.89562,                0.54048,                 1.2019,                0.58613,                0.92246,               0.005842,               0.005842,               0.005842
                     44,                  1.177,                  0.612,                0.90703,                0.89868,                0.81838,                0.89203,                0.53931,                 1.1877,                0.57434,                 0.9229,               0.005743,               0.005743,               0.005743
                     45,                 1.1604,                0.60436,                0.90628,                  0.883,                0.82986,                0.89172,                0.54271,                 1.1877,                0.56821,                0.92463,               0.005644,               0.005644,               0.005644
                     46,                 1.1523,                0.59736,                0.90281,                0.88392,                0.84104,                0.89423,                0.54701,                 1.1651,                0.56819,                0.91659,               0.005545,               0.005545,               0.005545
                     47,                 1.1455,                0.59106,                0.90376,                0.89309,                0.83151,                0.89708,                0.55052,                 1.1847,                0.57429,                0.92047,               0.005446,               0.005446,               0.005446
                     48,                 1.1532,                  0.593,                0.90439,                0.88965,                0.83522,                0.89205,                0.55233,                 1.1733,                 0.5726,                0.91946,               0.005347,               0.005347,               0.005347
                     49,                  1.149,                0.58667,                0.89812,                0.88997,                0.84288,                0.89849,                0.55138,                 1.1846,                 0.5676,                 0.9184,               0.005248,               0.005248,               0.005248
                     50,                 1.1372,                0.58388,                0.90098,                0.88366,                0.83979,                0.89571,                0.54961,                 1.1811,                0.56384,                0.91735,               0.005149,               0.005149,               0.005149
                     51,                  1.126,                0.58134,                    0.9,                0.90245,                0.83015,                0.89817,                0.55447,                 1.1689,                0.55909,                0.91688,                0.00505,                0.00505,                0.00505
                     52,                 1.1129,                0.57248,                0.89124,                0.89266,                 0.8389,                0.89895,                0.55146,                 1.1722,                0.55385,                0.91415,               0.004951,               0.004951,               0.004951
                     53,                 1.1225,                0.57726,                0.89517,                0.89822,                0.84594,                0.90245,                0.55792,                  1.152,                0.55349,                0.91176,               0.004852,               0.004852,               0.004852
                     54,                 1.1182,                0.57415,                0.89413,                  0.888,                 0.8438,                0.90011,                0.56339,                  1.151,                0.54862,                0.91333,               0.004753,               0.004753,               0.004753
                     55,                 1.1089,                0.56305,                0.89068,                0.88867,                0.84838,                0.90122,                0.54904,                 1.1787,                0.54662,                  0.918,               0.004654,               0.004654,               0.004654
                     56,                  1.105,                0.56359,                0.89206,                0.90546,                0.84481,                0.90596,                0.55868,                 1.1615,                0.54162,                0.91307,               0.004555,               0.004555,               0.004555
                     57,                 1.0965,                0.55968,                0.88794,                0.89782,                0.84196,                 0.9035,                 0.5563,                 1.1642,                0.54605,                0.91861,               0.004456,               0.004456,               0.004456
                     58,                 1.0799,                0.55217,                0.88762,                0.87937,                0.83982,                0.89283,                0.55108,                 1.1824,                0.54928,                0.91582,               0.004357,               0.004357,               0.004357
                     59,                 1.0849,                0.55029,                0.88832,                0.88374,                0.84809,                0.90079,                0.56336,                  1.148,                0.54199,                0.91273,               0.004258,               0.004258,               0.004258
                     60,                  1.089,                0.55427,                0.88853,                0.89518,                0.83308,                0.90134,                0.55694,                 1.1736,                0.54487,                0.91915,               0.004159,               0.004159,               0.004159
                     61,                 1.0783,                0.54941,                0.88529,                0.89888,                0.84135,                0.90487,                0.56654,                 1.1541,                0.54145,                 0.9116,                0.00406,                0.00406,                0.00406
                     62,                 1.0691,                0.54524,                 0.8838,                0.89174,                0.84686,                0.90777,                0.55938,                 1.1641,                0.53997,                0.91301,               0.003961,               0.003961,               0.003961
                     63,                 1.0798,                0.54228,                0.88442,                0.90845,                0.84227,                0.90301,                0.56354,                 1.1574,                0.52957,                0.91581,               0.003862,               0.003862,               0.003862
                     64,                 1.0681,                0.54138,                 0.8836,                0.90625,                 0.8389,                0.90842,                0.56536,                  1.146,                 0.5289,                0.91186,               0.003763,               0.003763,               0.003763
                     65,                 1.0567,                0.53227,                0.88334,                0.90721,                 0.8438,                0.90453,                0.56688,                 1.1438,                0.52752,                0.91197,               0.003664,               0.003664,               0.003664
                     66,                  1.057,                0.53461,                0.87725,                0.91245,                0.83632,                0.90722,                0.56584,                 1.1405,                0.52636,                0.91203,               0.003565,               0.003565,               0.003565
                     67,                 1.0491,                0.53063,                0.87853,                0.90002,                0.85207,                0.90729,                0.56732,                  1.136,                0.52045,                0.90806,               0.003466,               0.003466,               0.003466
                     68,                 1.0509,                0.53093,                0.87706,                0.90924,                0.84383,                 0.9061,                 0.5711,                 1.1509,                0.52741,                0.91044,               0.003367,               0.003367,               0.003367
                     69,                 1.0521,                0.52828,                0.87827,                0.90052,                 0.8536,                0.91019,                0.57415,                 1.1316,                0.52052,                0.90721,               0.003268,               0.003268,               0.003268
                     70,                 1.0529,                0.53253,                0.87976,                0.90915,                0.84747,                0.90938,                0.56854,                 1.1339,                0.52055,                0.90646,               0.003169,               0.003169,               0.003169
                     71,                 1.0454,                0.52367,                0.87415,                0.91413,                0.84165,                0.90987,                0.57114,                 1.1342,                0.51481,                0.90634,                0.00307,                0.00307,                0.00307
                     72,                 1.0283,                0.51445,                0.87447,                0.91037,                 0.8493,                0.90909,                0.57027,                 1.1279,                0.51828,                 0.9103,               0.002971,               0.002971,               0.002971
                     73,                 1.0285,                0.51889,                0.87479,                0.91148,                0.83583,                0.90513,                0.57298,                 1.1169,                0.51098,                0.90558,               0.002872,               0.002872,               0.002872
                     74,                 1.0226,                0.50984,                0.87291,                0.91179,                0.84349,                0.91225,                 0.5754,                 1.1243,                0.51081,                0.90542,               0.002773,               0.002773,               0.002773
                     75,                 1.0075,                0.50764,                0.86945,                0.90743,                0.84747,                0.91024,                0.57724,                 1.1214,                0.50735,                0.90231,               0.002674,               0.002674,               0.002674
                     76,                 1.0084,                0.50574,                0.87011,                0.90369,                 0.8507,                0.91245,                0.57363,                 1.1315,                0.51263,                0.90794,               0.002575,               0.002575,               0.002575
                     77,                 1.0055,                0.50584,                0.86813,                0.91257,                0.84533,                0.91286,                0.57895,                 1.1245,                0.50894,                0.90461,               0.002476,               0.002476,               0.002476
                     78,                0.99709,                0.50027,                0.86843,                0.90039,                0.85548,                0.91308,                0.57977,                 1.1128,                0.50548,                0.90031,               0.002377,               0.002377,               0.002377
                     79,                 1.0008,                0.49688,                0.86723,                0.90055,                0.85942,                0.91456,                0.57841,                 1.1183,                0.50325,                0.90309,               0.002278,               0.002278,               0.002278
                     80,                 1.0085,                0.50083,                0.86876,                0.90269,                0.85231,                0.91239,                0.57776,                 1.1275,                0.50276,                0.90656,               0.002179,               0.002179,               0.002179
                     81,                0.99341,                0.49498,                0.86869,                0.90929,                0.85207,                0.91443,                0.58271,                 1.1092,                0.50181,                0.90045,                0.00208,                0.00208,                0.00208
                     82,                0.98769,                  0.492,                0.86411,                0.91433,                0.84717,                  0.913,                0.58161,                 1.1124,                0.50058,                0.90113,               0.001981,               0.001981,               0.001981
                     83,                0.97898,                0.48867,                0.86069,                0.91681,                0.84533,                0.91087,                0.58111,                 1.1134,                0.49945,                0.90293,               0.001882,               0.001882,               0.001882
                     84,                0.98711,                0.48772,                 0.8633,                0.90053,                0.85679,                0.91499,                0.58285,                 1.1073,                0.49669,                0.90106,               0.001783,               0.001783,               0.001783
                     85,                0.97575,                0.48603,                0.86343,                0.90577,                0.86095,                0.91563,                0.58053,                 1.1053,                0.49414,                0.90082,               0.001684,               0.001684,               0.001684
                     86,                  0.977,                0.48702,                0.86493,                0.89957,                0.86187,                 0.9151,                0.58453,                 1.1075,                 0.4989,                0.90201,               0.001585,               0.001585,               0.001585
                     87,                0.96759,                0.48145,                0.86118,                0.90973,                0.85207,                0.91335,                0.58355,                 1.1031,                0.49586,                0.90074,               0.001486,               0.001486,               0.001486
                     88,                0.95716,                0.47434,                0.86095,                 0.9047,                0.85391,                  0.916,                0.58659,                 1.0982,                0.49328,                0.89847,               0.001387,               0.001387,               0.001387
                     89,                0.95466,                0.47255,                0.85632,                0.90726,                0.85992,                0.91392,                 0.5833,                 1.1119,                 0.4959,                 0.9014,               0.001288,               0.001288,               0.001288
